Name,Start node,End node,Length,Speed limit up (kmh) (Class 1),Speed limit down (kmh) (Class 1),Speed limit up (kmh) (Class 2),Speed limit down (kmh) (Class 2),Gradient ‰,Tunnel,Radius,Note,Zone,Segment ID
P1,N1,N53,172.83500000048767,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P2,N2,N3,286.609213662225,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P3,N3,N361,25.204999999940142,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P4,N5,N54,195.46600000055273,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P5,N6,N179,1.286999999967703,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P6,N8,N241,8.241000000049175,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P7,N9,N10,47.85870254873803,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P8,N10,N11,68.20887201534111,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P9,N11,N12,48.30588666717522,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P10,N12,N13,46.33621466635402,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P11,N13,N14,35.59593127366079,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P12,N14,N409,101.27100000007316,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P13,N15,N381,43.4920000000146,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P14,N17,N18,421.88807471654667,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P15,N18,N19,140.85812711313167,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P16,N19,N254,26.050000000011806,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P17,N20,N253,39.02900000000443,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P18,N21,N22,128.47639776236136,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P19,N22,N97,41.04599999997691,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P20,N24,N243,15.017999999925618,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P21,N25,N26,152.5168872678309,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P22,N26,N27,147.77038779343104,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P23,N27,N28,178.37114163371527,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P24,N28,N29,113.9959773778507,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P25,N29,N350,24.865999999978897,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P26,N30,N119,125.05700000018602,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P27,N32,N395,292.0832627534993,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P28,N33,N34,195.16100045948437,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P29,N35,N246,105.83500000008135,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P30,N36,N247,25.15600000004639,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P31,N35,N37,70.51578950773481,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P32,N37,N36,76.01357111845279,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P33,N38,N258,164.49200000038857,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P34,N39,N61,89.90300000003796,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P35,N38,N40,164.07710846393735,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P36,N40,N39,165.49426537150228,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P37,N41,N63,24.483999999998705,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P39,N45,N245,205.50300000060545,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P43,N48,N58,529.3299999944713,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P48,N53,N45,155.23799999867174,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P49,N54,N48,175.14599999759218,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P50,N55,N410,110.44900000016187,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P51,N56,N59,34.70500000001611,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
P52,N55,N57,78.78618218992327,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,null
