Signal,State,Switch time,Type,Script,Status,ID
N53,ON,1.0,2 Aspect,,Normal,XDN
N54,ON,1.0,2 Aspect,,Normal,XD
N241,ON,1.0,2 Aspect,,Normal,YXT
N242,ON,1.0,2 Aspect,,Normal,XT
N45,ON,1.0,2 Aspect,,Normal,XJ
N48,ON,1.0,2 Aspect,,Normal,XJN
N244,ON,1.0,2 Aspect,,Normal,D9
N245,ON,1.0,2 Aspect,,Normal,D1
N246,ON,1.0,2 Aspect,,Normal,D17
N247,ON,1.0,2 Aspect,,Normal,D19
N58,ON,1.0,2 Aspect,,Normal,D3
N248,ON,1.0,2 Aspect,,Normal,D11
N249,ON,1.0,2 Aspect,,Normal,D5
N63,ON,1.0,2 Aspect,,Normal,D2
N72,ON,1.0,2 Aspect,,Normal,D4
N250,ON,1.0,2 Aspect,,Normal,D7
N252,ON,1.0,2 Aspect,,Normal,D13
N253,ON,1.0,2 Aspect,,Normal,D15
N255,ON,1.0,2 Aspect,,Normal,D25
N256,ON,1.0,2 Aspect,,Normal,D23
N257,ON,1.0,2 Aspect,,Normal,D27
N59,ON,1.0,2 Aspect,,Normal,D21
N258,ON,1.0,2 Aspect,,Normal,D29
N259,ON,1.0,2 Aspect,,Normal,D31
N260,ON,1.0,2 Aspect,,Normal,D33
N263,ON,1.0,2 Aspect,,Normal,D35
N264,ON,1.0,2 Aspect,,Normal,D41
N13,ON,1.0,2 Aspect,,Normal,D47
N79,ON,1.0,2 Aspect,,Normal,D45
N268,ON,1.0,2 Aspect,,Normal,D57
N269,ON,1.0,2 Aspect,,Normal,
N272,ON,1.0,2 Aspect,,Normal,SIV
N273,ON,1.0,2 Aspect,,Normal,S5
N274,ON,1.0,2 Aspect,,Normal,SVI
N275,ON,1.0,2 Aspect,,Normal,S7
N276,ON,1.0,2 Aspect,,Normal,SVIII
N277,ON,1.0,2 Aspect,,Normal,SX
N278,ON,1.0,2 Aspect,,Normal,S13
N279,ON,1.0,2 Aspect,,Normal,S12
N280,ON,1.0,2 Aspect,,Normal,S11
N282,ON,1.0,2 Aspect,,Normal,D59
N283,ON,1.0,2 Aspect,,Normal,D63
N284,ON,1.0,2 Aspect,,Normal,D61
N286,ON,1.0,2 Aspect,,Normal,D65
N288,ON,1.0,2 Aspect,,Normal,D67
N291,ON,1.0,2 Aspect,,Normal,S15
N294,ON,1.0,2 Aspect,,Normal,T
N297,ON,1.0,2 Aspect,,Normal,D18
N298,ON,1.0,2 Aspect,,Normal,D20
N226,ON,1.0,2 Aspect,,Normal,
N299,ON,1.0,2 Aspect,,Normal,D36
N301,ON,1.0,2 Aspect,,Normal,D32
N300,ON,1.0,2 Aspect,,Normal,D34
N302,ON,1.0,2 Aspect,,Normal,D46
N303,ON,1.0,2 Aspect,,Normal,X9
N96,ON,1.0,2 Aspect,,Normal,XX
N305,ON,1.0,2 Aspect,,Normal,X11
N306,ON,1.0,2 Aspect,,Normal,X12
N307,ON,1.0,2 Aspect,,Normal,X13
N308,ON,1.0,2 Aspect,,Normal,D42
N309,ON,1.0,2 Aspect,,Normal,D40
N310,ON,1.0,2 Aspect,,Normal,D30
N311,ON,1.0,2 Aspect,,Normal,D24
N216,ON,1.0,2 Aspect,,Normal,D26
N313,ON,1.0,2 Aspect,,Normal,D38
N215,ON,1.0,2 Aspect,,Normal,D44
N314,ON,1.0,2 Aspect,,Normal,D50
N315,ON,1.0,2 Aspect,,Normal,X1
N318,ON,1.0,2 Aspect,,Normal,X3
N319,ON,1.0,2 Aspect,,Normal,X2
N320,ON,1.0,2 Aspect,,Normal,X5
N321,ON,1.0,2 Aspect,,Normal,XIV
N322,ON,1.0,2 Aspect,,Normal,XVI
N323,ON,1.0,2 Aspect,,Normal,X7
N324,ON,1.0,2 Aspect,,Normal,FXVIII
N325,ON,1.0,2 Aspect,,Normal,XVIII
N326,ON,1.0,2 Aspect,,Normal,D48
N327,ON,1.0,2 Aspect,,Normal,D52
N330,ON,1.0,2 Aspect,,Normal,D22
N333,ON,1.0,2 Aspect,,Normal,D14
N334,ON,1.0,2 Aspect,,Normal,D3-side
N335,ON,1.0,2 Aspect,,Normal,D5-side
N339,ON,1.0,2 Aspect,,Normal,D8
N341,ON,1.0,2 Aspect,,Normal,SN
N342,ON,1.0,2 Aspect,,Normal,S
N343,ON,1.0,2 Aspect,,Normal,TF2
N344,ON,1.0,2 Aspect,,Normal,TF3
N345,ON,1.0,2 Aspect,,Normal,FS
N346,ON,1.0,2 Aspect,,Normal,S1
N347,ON,1.0,2 Aspect,,Normal,S2
N348,ON,1.0,2 Aspect,,Normal,S3
N349,ON,1.0,2 Aspect,,Normal,D39
N350,ON,1.0,2 Aspect,,Normal,D37
N351,ON,1.0,2 Aspect,,Normal,D49
N352,ON,1.0,2 Aspect,,Normal,D51
N353,ON,1.0,2 Aspect,,Normal,D12
N354,ON,1.0,2 Aspect,,Normal,D16
N355,ON,1.0,2 Aspect,,Normal,TF1
N359,ON,1.0,2 Aspect,,Normal,S9
N360,ON,1.0,2 Aspect,,Normal,D43
N361,ON,1.0,2 Aspect,,Normal,D53
N389,ON,1.0,2 Aspect,,Normal,FSVIII
N391,ON,1.0,2 Aspect,,Normal,TF
N407,ON,1.0,2 Aspect,,Normal,D10
