Track circuit,Description,ID,State,Last locked for Route,Status
T1,T1: Paths = P39,XAG,CLEAR,,Normal
T2,T2: Paths = P296 P32 P30,31-DG,CLEAR,,Normal
T3,T3: Paths = P298 P35 P33,1-DG,CLEAR,,Normal
T4,T4: Paths = P310 P2 P3,1/113G,CLEAR,,Normal
T5,T5: Paths = P414 P274 P273 P113 P114 P275 P272 P438,109-115DG,CLEAR,,Normal
T6,T6: Paths = P459 P115 P137 P136 P132 P131 P133,101-143DG,CLEAR,,Normal
T7,T7: Paths = P329 P483 P509 P510,XG,CLEAR,,Normal
T8,T8: Paths = P100 P124 P356,126DG,CLEAR,,Normal
T9,T9: Paths = P361,10/126G,CLEAR,,Normal
T10,T10: Paths = P351 P97 P119 P117 P458 P99 P461 P118 P87 P95 P92 P91 P462 P89 P93 P460,10-34DG,CLEAR,,Normal
T11,T11: Paths = P128 P357 P126 P269 P127 P116,116-132DG,CLEAR,,Normal
T13,T13: Paths = P406,XBG,CLEAR,,Normal
T14,T14: Paths = P36 P54 P34 P59 P57 P311,3-13DG,CLEAR,,Normal
T15,T15: Paths = P312 P182 P183 P427 P426 P110 P428 P437 P313 P111 P425,51-59DG,CLEAR,,Normal
T16,T16: Paths = P314 P184 P185 P276 P180 P178 P179 P109 P108 P181 P309 P107 P277 P186 P7 P8 P9 P10,43-67DG,CLEAR,,Normal
T17,T17: Paths = P11 P229 P233 P439 P12 P230,103-131DG,CLEAR,,Normal
T18,T18: Paths = P317 P237 P187 P235 P236 P316 P234 P239 P188 P453 P318,69-95DG,CLEAR,,Normal
T19,T19: Paths = P319 P416 P189 P417 P238 P77 P240 P190 P418 P415,77-93DG,CLEAR,,Normal
T20,T20: Paths = P323 P246 P191 P244 P321 P247 P245 P192,85-91DG,CLEAR,,Normal
T21,T21: Paths = P436 P248 P193 P249,145DG,CLEAR,,Normal
T22,T22: Paths = P399 P474 P491 P492,1G,CLEAR,,Normal
T23,T23: Paths = P400 P475 P493 P494,2G,CLEAR,,Normal
T24,T24: Paths = P401 P476 P495 P496,3G,CLEAR,,Normal
T25,T25: Paths = P324 P477 P497 P498,IVG,CLEAR,,Normal
T26,T26: Paths = P325 P478 P499 P500,5G,CLEAR,,Normal
T27,T27: Paths = P326 P479 P501 P502,VIG,CLEAR,,Normal
T28,T28: Paths = P327 P480 P503 P504,7G,CLEAR,,Normal
T29,T29: Paths = P448 P328 P376 P481 P505 P506,VIIIG,CLEAR,,Normal
T30,T30: Paths = P412 P482 P507 P508,9G,CLEAR,,Normal
T31,T31: Paths = P332 P484 P511 P512,11G,CLEAR,,Normal
T32,T32: Paths = P331 P485 P513 P514,12G,CLEAR,,Normal
T33,T33: Paths = P330 P486 P515 P516,13G,CLEAR,,Normal
T34,T34: Paths = P344 P153 P154 P155 P348 P157 P347 P346 P487 P517,15,CLEAR,,Normal
T35,T35: Paths = P429 P165 P473 P488 P518,16,CLEAR,,Normal
T36,T36: Paths = P463 P168 P169 P430 P464 P159,17,CLEAR,,Normal
T37,T37: Paths = P320 P243 P241,135DG,CLEAR,,Normal
T38,T38: Paths = P468 P242 P411,137DG,CLEAR,,Normal
T39,T39: Paths = P409 P410 P232,133DG,CLEAR,,Normal
T40,T40: Paths = P413 P112 P120,107DG,CLEAR,,Normal
T41,T41: Paths = P293,VIAG,CLEAR,,Normal
T42,T42: Paths = P43,VIIIAG,CLEAR,,Normal
T43,T43: Paths = P294 P20,D9G,CLEAR,,Normal
T44,T44: Paths = P48,XJJG,CLEAR,,Normal
T45,T45: Paths = P49,XJNJG,CLEAR,,Normal
T46,T46: Paths = P292 P6,XTJG,CLEAR,,Normal
T47,T47: Paths = P299 P51 P53,7DG,CLEAR,,Normal
T48,T48: Paths = P55 P58 P56,11DG,CLEAR,,Normal
T49,T49: Paths = P295 P29 P31,29DG,CLEAR,,Normal
T51,T51: Paths = P304 P72 P301 P74 P469 P73,97-99DG,CLEAR,,Normal
