Name,Location,Paths,ID,Desc.,km,km change,Type,Device,Device direction,Track ID
N1,571638.6186460694;-168631.82754915894,P1,,,0.0,,Edge,,,
N2,572835.7550818439;-168631.81881551578,P2;P310,,,0.0,,,,,
N3,573119.3182586494;-168590.14428953108,P2;P3,,,0.0,,,,,
N4,576798.1721140859;-168593.65540521045,P394,,,0.0,,Edge,,,
N5,571638.055704098;-168673.24592820936,P4,,,0.0,,Edge,,,
N6,575297.716668269;-168679.39438329413,P5;P201;P377,76,,0.0,,Points:P377-P5/(P201),,,
N7,575294.3295429713;-168679.26564318791,P83;P211;P435,44,,0.0,,Points:P83-P211/(P435),,,
N8,571701.740951565;-168716.4545338135,P6,,,0.0,,Edge,,,
N9,572939.08608488;-168715.16083773033,P7;P184;P276,63,,0.0,,Points:P7-P276/(P184),,,
N10,572986.74399586;-168719.5402133339,P7;P8,,,0.0,,,,,
N11,573053.4650712318;-168733.70878146306,P8;P9,,,0.0,,,,,
N12,573100.0925408929;-168746.33168761453,P9;P10,,,0.0,,,,,
N13,573145.6895692359;-168754.57521816238,P10;P11,D47,,0.0,,,Signal,P10,
N14,573181.2397947236;-168756.37849046974,P11;P12;P229,103,,0.0,,Points:P11-P12/(P229),,,
N15,574638.7937521231;-168756.72396637622,P13;P231;P374,140,,0.0,,Points:P13-P231/(P374),,,
N16,574766.8749994439;-168775.2868219426,P80;P219;P226,112,,0.0,,Points:P80-P219/(P226),,,
N17,571698.5881855388;-168976.0732835525,P14,,,0.0,,Edge,,,
N18,572120.4728966483;-168977.7579556367,P14;P15,,,0.0,,,,,
N19,572260.7687074058;-168965.1842744839,P15;P16,,,0.0,,,,,
N20,572360.034611244;-168943.01488929344,P17;P306,,,0.0,,,,,
N21,572458.3078560436;-168895.69814179742,P18;P75,,,0.0,,,,,
N22,572576.1033952646;-168844.41075814783,P18;P19,,,0.0,,,,,
N23,572665.1019381618;-168797.90356490389,P104;P107,,,0.0,,,,,
N24,572018.4122805255;-168590.38665416033,P20,,,0.0,,Edge,,,
N25,572337.6010110577;-168589.8734889987,P21;P297,,,0.0,,,,,
N26,572487.5340665851;-168561.91852947293,P21;P22,,,0.0,,,,,
N27,572630.32785069;-168523.89192392322,P22;P23,,,0.0,,,,,
N28,572804.1637617743;-168483.9251854373,P23;P24,,,0.0,,,,,
N29,572916.6914720742;-168465.687935837,P24;P25,,,0.0,,,,,
N30,574883.6748253797;-168465.99891550775,P26;P359,,,0.0,,,,,
N31,575045.2285744066;-168507.12168798732,P129;P490,122,,0.0,,,,,
N32,572519.494869288;-168424.8699656233,P27,,,0.0,,Edge,,,
N33,572947.829635672;-168424.32708252268,P28;P402,,,0.0,,,,,
N34,573138.9244870879;-168463.95754886747,P28;P424,,,0.0,,,,,
N35,572216.0970250431;-168590.06883302768,P29;P31;P295,29,,0.0,,Points:P295-P29/(P31),,,
N36,572356.5516460403;-168631.82231151816,P30;P32;P296,31,,0.0,,Points:P30-P296/(P32),,,
N37,572283.6894068518;-168610.16227701644,P32;P31,,,0.0,,,,,
N38,572396.6856460392;-168631.82201872277,P33;P35;P298,1,,0.0,,Points:P298-P33/(P35),,,
N39,572723.4071723203;-168675.0693853054,P34;P36;P54,3,,0.0,,Points:P34-P54/(P36),,,
N40,572559.3439578982;-168653.35272017593,P36;P35,,,0.0,,,,,
N41,572085.8645097072;-168797.2758303509,P37,,,0.0,,Edge,,,
N42,574669.4325606066;-168797.7569991429,P78;P79;P372,138,,0.0,,Points:P79-P78/(P372),,,
N45,571966.6916460599;-168631.82515572038,P39;P48,XJ,,0.0,,,Signal,P48,
N48,572008.6671810513;-168673.8685782423,P43;P49,XJN,,0.0,,,Signal,P49,
N53,571811.4536460653;-168631.82628825068,P48;P1,XDN,,0.0,,,Signal,P48,
N54,571833.5214282373;-168673.57432262544,P49;P4,XD,,0.0,,,Signal,P49,
N55,572337.546505343;-168797.32270410046,P50;P52;P300,5,,0.0,,Points:P300-P50/(P52),,,
N56,572471.0035310911;-168715.65023761572,P51;P53;P299,7,,0.0,,Points:P51-P299/(P53),,,
N57,572404.7474560882;-168756.19735032675,P53;P52,,,0.0,,,,,
N58,572537.9964340023;-168674.75788388262,P54;P43,D3,,0.0,,,Signal,P43,
N59,572505.7085121222;-168715.61395210668,P55;P51,D21,,0.0,,,Signal,P55,
N60,572522.1155031545;-168715.59679791142,P56;P55;P58,11,,0.0,,Points:P55-P56/(P58),,,
N61,572813.3100454402;-168675.2204276509,P57;P34;P59,13,,0.0,,Points:P57-P34/(P59),,,
N62,572670.781964773;-168694.98304583863,P59;P58,,,0.0,,,,,
N63,572110.3485092826;-168797.2803902991,P60;P37,D2,,0.0,,,Signal,P60,
N72,572092.128620322;-168838.34548007164,P69;P70,D4,,0.0,,,Signal,P70,
N73,572044.9702487478;-168838.98792099193,P69,,,0.0,,Edge,,,
N74,572484.7872513138;-168838.987920992,P72;P74;P301,97,,0.0,,Points:P74-P72/(P301),,,
N75,572185.9626362069;-168880.26203910063,P302,,,0.0,,Edge,,,
N76,572357.9931604839;-168879.93184615576,P72;P304,,,0.0,,,,,
N77,572560.0715014845;-168797.36414759312,P73;P74;P469,99,,0.0,,Points:P73-P469/(P74),,,
N78,572432.3381932388;-168908.20205351818,P75;P76;P305,33,,0.0,,Points:P305-P75/(P76),,,
N79,573139.9983330229;-168839.32159863858,P77;P307,D45,,0.0,,,Signal,P307,
N80,574496.1007936037;-168839.20386137202,P78;P373,,,0.0,,,,,
N81,574909.0232298918;-168739.8018365388,P81;P288,,,0.0,,,,,
N82,575124.5194917595;-168702.5834936018,P82;P447,,,0.0,,,,,
N83,575537.4169095367;-168647.68129711432,P84;P86,,,0.0,,,,,
N84,576797.5078009542;-168634.26804668663,P398,,,0.0,,Edge,,,
N85,576004.6254408218;-168642.70801695273,P85;P407,,,0.0,,,,,
N86,575391.3589546826;-168666.6586099138,P86;P88;P353,30,,0.0,,Points:P353-P86/(P88),,,
N87,575617.6331208568;-168592.52869316042,P87;P95;P118,34,,0.0,,Points:P118-P87/(P95),,,
N88,575631.1201147143;-168592.54156521175,P89;P87;P91,26,,0.0,,Points:P89-P87/(P91),,,
N89,575591.0051769816;-168601.25230176392,P91;P92;P462,28,,0.0,,Points:P462-P92/(P91),,,
N90,575633.0866330944;-168583.5787709997,P92;P93;P95,32,,0.0,,Points:P93-P92/(P95),,,
N91,575713.2595511308;-168551.2629178835,P94;P449;P465,4,,0.0,,Points:P449-P94/(P465),,,
N92,575833.3955852346;-168509.81968640618,P134;P156;P420,2,,0.0,,Points:P134-P156/(P420),,,
N93,575628.5217481849;-168646.71151626416,P96;P84;P98,8,,0.0,,Points:P96-P84/(P98),,,
N94,575412.1042144219;-168592.33253539112,P97;P99;P351,12,,0.0,,Points:P351-P97/(P99),,,
N95,575450.308401657;-168601.9320568846,P99;P117;P461,10,,0.0,,Points:P461-P99/(P117),,,
N96,575028.1793892316;-168591.9661157054,P100;P510,XX,,0.0,,,Signal,P510,
N97,572612.4818835211;-168825.4007684537,P101;P19;P103,35,,0.0,,Points:P19-P101/(P103),,,
N98,572687.2914992784;-168797.38784129557,P102;P103;P105,37,,0.0,,Points:P102-P105/(P103),,,
N99,572631.8259580884;-168815.29230392454,P104;P101;P106,41,,0.0,,Points:P104-P101/(P106),,,
N100,572644.9345000128;-168797.37995264478,P105;P106;P308,39,,0.0,,Points:P308-P105/(P106),,,
N101,572813.0037671456;-168724.24442730134,P107;P108;P181,43,,0.0,,Points:P107-P108/(P181),,,
N102,572855.4373808795;-168704.04875017662,P108;P109;P179,49,,0.0,,Points:P109-P179/(P108),,,
N103,572913.0744818872;-168683.3992376109,P110;P313;P428,51,,0.0,,Points:P313-P110/(P428),,,
N104,572956.4157665031;-168663.20356048617,P110;P111;P427,57,,0.0,,Points:P111-P427/(P110),,,
N105,573136.8153543028;-168631.8889150568,P112;P120;P413,107,,0.0,,Points:P413-P112/(P120),,,
N106,573238.9283285291;-168598.9858455839,P113;P275;P438,109,,0.0,,Points:P438-P275/(P113),,,
N107,573275.008246089;-168580.1516747822,P113;P114;P274,115,,0.0,,Points:P114-P113/(P274),,,
N108,573329.9223344505;-168548.61011163236,P115;P459,,,0.0,,,,,
N109,575207.3319838961;-168548.8857940137,P116;P127,,,0.0,,,,,
N110,575397.346130476;-168581.86345581687,P117;P119;P458,16,,0.0,,Points:P458-P119/(P117),,,
N111,575458.23919341;-168592.37656683527,P118;P97;P119,14,,0.0,,Points:P118-P97/(P119),,,
N112,575087.0137497559;-168632.02099731375,P122;P123,,,0.0,,,,,
N113,575295.4133314361;-168679.30683653915,P121;P354;P472,42,,0.0,,Points:P121-P472/(P354),,,
N114,575010.5973499678;-168632.0158218144,P123;P125;P355,128,,0.0,,Points:P355-P123/(P125),,,
N115,575149.7163338786;-168592.0821111455,P124;P100;P356,126,,0.0,,Points:P124-P100/(P356),,,
N116,575134.9283149545;-168548.8751621221,P126;P128;P357,116,,0.0,,Points:P126-P357/(P128),,,
N117,575155.6073147316;-168548.8781986655,P127;P126;P269,132,,0.0,,Points:P126-P127/(P269),,,
N118,575041.3685995019;-168516.26893120026,P130;P271;P422,118,,0.0,,Points:P271-P130/(P422),,,
N119,575004.8672106592;-168496.84788630618,P129;P26;P130,124,,0.0,,Points:P26-P129/(P130),,,
N120,573467.3943329687;-168548.63029828045,P131;P132;P136,143,,0.0,,Points:P136-P131/(P132),,,
N121,573602.5535295017;-168507.10324079273,P132;P133,,,0.0,,,,,
N122,576775.5118054462;-168510.17586951458,P397,,,0.0,,Edge,,,
N124,573335.2363343933;-168548.61089195014,P136;P115;P137,101,,0.0,,Points:P115-P136/(P137),,,
N125,573428.8063398595;-168476.3391438554,P138;P143;P452,117,,0.0,,Points:P452-P138/(P143),,,
N126,573473.2903397983;-168456.70482664098,P138;P139;P142,123,,0.0,,Points:P139-P138/(P142),,,
N127,573582.81301551;-168383.68970949991,P152;P333;P456,125,,0.0,,Points:P152-P456/(P333),,,
N128,573470.8364651424;-168465.77554604845,P140;P141;P143,119,,0.0,,Points:P140-P141/(P143),,,
N129,573430.9534656418;-168465.76924055428,P141;P142;P451,121,,0.0,,Points:P451-P141/(P142),,,
N130,573189.2064686689;-168465.7310204029,P144;P145;P405,127,,0.0,,Points:P405-P144/(P145),,,
N131,573362.233733054;-168382.1557784676,P145;P146;P148,129,,0.0,,Points:P145-P146/(P148),,,
N132,573458.8713880937;-168341.0464267999,P147;P149;P334,139,,0.0,,Points:P334-P147/(P149),,,
N133,573580.3587258579;-168301.1642199581,P171;P336;P337,141,,0.0,,Points:P171-P336/(P337),,,
N134,573657.362063683;-168341.6599992128,P339,,,0.0,,Edge,,,
N135,573563.1788897421;-168341.3688611172,P150;P151;P335,,,0.0,,Points:P335-P150/(P151),,,
N136,573624.8427257965;-168372.33861986035,P151,,,0.0,,Edge,,,
N137,574721.721924486;-168383.495391927,P153;P517,,,0.0,,,,,
N138,575493.0272821866;-168444.4405043878,P153;P154;P155,204,,0.0,,Points:P155-P154/(P153),,,
N139,575354.1523537922;-168449.43600540917,P154,,,0.0,,Edge,,,
N140,575567.460247405;-168443.94095428567,P157;P347;P348,202,,0.0,,Points:P157-P347/(P348),,,
N141,575749.2928397356;-168509.71727640656,P156;P349;P350,6,,0.0,,Points:P156-P350/(P349),,,
N142,574464.453621885;-168300.07052487004,P463,,,0.0,,Edge,,,
N143,575164.8228650818;-168300.07052487004,P159;P464,,,0.0,,,,,
N146,573649.3730145411;-168383.67835321202,P162;P163;P340,147,,0.0,,Points:P340-P162/(P163),,,
N147,573807.1313537486;-168341.654878275,P163;P429,,,0.0,,,,,
N148,574602.1453715172;-168341.654878275,P165;P473,,,0.0,,,Stop board,P165,
N153,574691.9819710436;-168319.24010272755,P169;P488,,,0.0,,,,,
N151,574759.3802676469;-168300.2998104287,P168;P169;P430,230,,0.0,,Points:P430-P168/(P169),,,
N152,573239.3816126097;-168301.10124936313,P170,,,0.0,,Edge,,,
N154,573826.3681845105;-168300.62335956344,P341,,,0.0,,Edge,,,
N155,572217.9857190455;-169021.72098113564,P172,,,0.0,,Edge,,,
N156,573229.9059123137;-168880.92038934212,P172;P173,,,0.0,,,,,
N157,574555.172175048;-168880.48747241925,P174;P370,,,0.0,,,,,
N158,574935.1568608059;-168781.54319885888,P175;P223;P224,104,,0.0,,Points:P175-P224/(P223),,,
N159,575137.5575246363;-168748.34691163833,P176;P210;P216,70,,0.0,,Points:P216-P176/(P210),,,
N160,575411.5074677188;-168724.17485783697,P362;P470,,,0.0,,,,,
N149,572812.7153443188;-168715.29296362447,P178;P179;P309,47,,0.0,,Points:P309-P178/(P179),,,
N162,572848.5503247321;-168715.25549665382,P180;P178;P181,45,,0.0,,Points:P180-P178/(P181),,,
N163,572963.9528328382;-168675.47351678126,P182;P183;P312,59,,0.0,,Points:P312-P182/(P183),,,
N164,572921.6587013666;-168706.00018399884,P184;P185;P314,61,,0.0,,Points:P314-P185/(P184),,,
N165,572954.4661616797;-168724.414693981,P185;P186;P277,67,,0.0,,Points:P186-P277/(P185),,,
N166,573173.7469931912;-168788.54798736706,P187;P237;P317,69,,0.0,,Points:P317-P237/(P187),,,
N167,573209.9410300526;-168807.38581941774,P187;P188;P236,75,,0.0,,Points:P188-P236/(P187),,,
N168,573311.7499875403;-168830.0335500854,P189;P319;P416,77,,0.0,,Points:P319-P416/(P189),,,
N169,573344.9807699217;-168847.60141593046,P189;P190;P418,83,,0.0,,Points:P190-P418/(P189),,,
N170,573447.8480325807;-168871.7307738381,P191;P246;P323,85,,0.0,,Points:P323-P246/(P191),,,
N171,573485.9470187506;-168891.4152500259,P191;P192;P247,91,,0.0,,Points:P192-P191/(P247),,,
N172,573544.3654642114;-168922.3177610304,P193;P248;P436,145,,0.0,,Points:P436-P248/(P193),,,
N173,574530.0793596068;-168922.55729865367,P194;P195;P371,96,,0.0,,Points:P371-P194/(P195),,,
N174,574829.3018479607;-168897.05394732553,P250;P251;P471,136,,0.0,,Points:P251-P250/(P471),,,
N175,574752.4984490189;-168838.45533080376,P196;P281;P369,94,,0.0,,Points:P369-P281/(P196),,,
N176,574779.0577631665;-168813.77817277692,P196;P197;P279,88,,0.0,,Points:P197-P279/(P196),,,
N177,574893.2419011547;-168753.7583053726,P198;P287;P443,86,,0.0,,Points:P443-P198/(P287),,,
N178,574924.6111698329;-168726.1533489358,P198;P200;P289,80,,0.0,,Points:P200-P198/(P289),,,
N179,575296.4305969008;-168679.34550144005,P199;P5;P290,78,,0.0,,Points:P199-P5/(P290),,,
N180,575012.6542505893;-168711.51435688598,P202;P285;P291,74,,0.0,,Points:P291-P202/(P285),,,
N181,575052.1795291238;-168724.68944973082,P202;P203;P283,22,,0.0,,Points:P203-P202/(P283),,,
N182,575155.6981157616;-168737.65541411782,P204;P209;P434,20,,0.0,,Points:P434-P209/(P204),,,
N183,575196.4781650433;-168754.38569074616,P204;P205;P210,68,,0.0,,Points:P205-P204/(P210),,,
N184,575254.4067478689;-168775.29853653166,P206;P207;P365,40,,0.0,,Points:P365-P206/(P207),,,
N185,575624.3549898132;-168819.00638422326,P257;P364;P445,38,,0.0,,Points:P257-P445/(P364),,,
N186,576232.3425562297;-168773.42477642602,P259,,,0.0,,Edge,,,
N187,575192.082684237;-168743.53586814416,P208;P176;P209,18,,0.0,,Points:P208-P176/(P209),,,
N188,575184.3656481081;-168694.36558358042,P211;P82;P212,54,,0.0,,Points:P211-P82/(P212),,,
N189,575054.1648093078;-168752.20281046288,P213;P218;P433,56,,0.0,,Points:P433-P218/(P213),,,
N190,575018.8235292352;-168777.38855028473,P213;P214;P217,62,,0.0,,Points:P214-P213/(P217),,,
N191,574913.8152430428;-168868.3821909313,P252;P253;P380,64,,0.0,,Points:P252-P253/(P380),,,
N192,575015.2270562705;-168768.41066680022,P215;P218;P432,58,,0.0,,Points:P432-P215/(P218),,,
N193,575059.8765024621;-168761.08758884206,P216;P215;P217,60,,0.0,,Points:P216-P215/(P217),,,
N194,574734.8593117394;-168782.66962336353,P219;P220;P441,110,,0.0,,Points:P441-P219/(P220),,,
N195,574898.3788218617;-168783.4818744351,P221;P223;P444,106,,0.0,,Points:P444-P223/(P221),,,
N196,574936.5636532045;-168792.41874985574,P221;P222;P225,100,,0.0,,Points:P222-P221/(P225),,,
