Points,State,Switch time,Status,ID,Opposite
N39,NORMAL,4.0,Normal,3,null
N60,NORMAL,4.0,Normal,11,null
N61,NORMAL,4.0,Normal,13,null
N88,NORMAL,4.0,Normal,26,null
N90,NORMAL,4.0,Normal,32,null
N93,NORMAL,4.0,Normal,8,null
N97,NORMAL,4.0,Normal,35,null
N98,NORMAL,4.0,Normal,37,null
N99,NORMAL,4.0,Normal,41,null
N87,NORMAL,4.0,Normal,34,null
N111,NORMAL,4.0,Normal,14,null
N119,NORMAL,4.0,Normal,124,null
N120,NORMAL,4.0,Normal,143,null
N124,NORMAL,4.0,Normal,101,null
N126,NORMAL,4.0,Normal,123,null
N128,NORMAL,4.0,Normal,119,null
N131,NORMAL,4.0,Normal,129,null
N138,NORMAL,4.0,Normal,204,null
N102,NORMAL,4.0,Normal,49,null
N101,NORMAL,4.0,Normal,43,null
N162,NORMAL,4.0,Normal,45,null
N187,NORMAL,4.0,Normal,18,null
N183,NORMAL,4.0,Normal,68,null
N188,NORMAL,4.0,Normal,54,null
N159,NORMAL,4.0,Normal,70,null
N193,NORMAL,4.0,Normal,60,null
N190,NORMAL,4.0,Normal,62,null
N158,NORMAL,4.0,Normal,104,null
N196,NORMAL,4.0,Normal,100,null
N16,NORMAL,4.0,Normal,112,null
N200,NORMAL,4.0,Normal,108,null
N14,NORMAL,4.0,Normal,103,null
N201,NORMAL,4.0,Normal,131,null
N167,NORMAL,4.0,Normal,75,null
N204,NORMAL,4.0,Normal,71,null
N206,NORMAL,4.0,Normal,93,null
N171,NORMAL,4.0,Normal,91,null
N211,NORMAL,4.0,Normal,87,null
N225,NORMAL,4.0,Normal,36,null
N117,NORMAL,4.0,Normal,132,null
N107,NORMAL,4.0,Normal,115,null
N230,NORMAL,4.0,Normal,111,null
N9,NORMAL,4.0,Normal,63,null
N232,NORMAL,4.0,Normal,65,null
N165,NORMAL,4.0,Normal,67,null
N233,NORMAL,4.0,Normal,90,null
N176,NORMAL,4.0,Normal,88,null
N234,NORMAL,4.0,Normal,92,null
N181,NORMAL,4.0,Normal,22,null
N236,NORMAL,4.0,Normal,72,null
N237,NORMAL,4.0,Normal,84,null
