Route,Class,ID,Signals,Points,Track circuits,Overlaps,O/L Rel. Berth,O/L Rel. Time,State,Set time,Clear time,Manual release time,TORR time,Approach lock,Opp.Routes,Look-ahead o/ride,Last set for train
R1,MAIN,12/403,N245,N36 NORMAL; N38 NORMAL; N231 NORMAL; N230 NORMAL; N115 NORMAL; N94 NORMAL; N111 NORMAL; N87 NORMAL; N88 NORMAL,T2; T3; T4; T5; T7; T8; T9; T10; T13,,,0,UNSET,1.0,1.0,0.0,0.0,120.0,,null,
R2,MAIN,1,N245,N36 NORMAL; N38 REVERSE; N39 REVERSE; N61 NORMAL; N163 REVERSE; N164 NORMAL; N165 REVERSE; N166 REVERSE; N167 REVERSE; N168 REVERSE; N169 REVERSE; N170 REVERSE; N171 NORMAL; N172 NORMAL,T2; T3; T14; T15; T16; T18; T19; T20; T21; T22,,,0,UNSET,1.0,1.0,0.0,0.0,120.0,,null,
R3,MAIN,2,N245,N36 NORMAL; N38 REVERSE; N39 REVERSE; N61 NORMAL; N163 REVERSE; N164 NORMAL; N165 REVERSE; N166 REVERSE; N167 REVERSE; N168 REVERSE; N169 REVERSE; N170 REVERSE; N171 NORMAL; N172 REVERSE,T2; T3; T14; T15; T16; T18; T19; T20; T21; T23,,,0,UNSET,1.0,1.0,0.0,0.0,120.0,,null,
R4,MAIN,3,N245,N36 NORMAL; N38 REVERSE; N39 REVERSE; N61 NORMAL; N163 REVERSE; N164 NORMAL; N165 REVERSE; N166 REVERSE; N167 REVERSE; N168 REVERSE; N169 REVERSE; N170 NORMAL; N211 REVERSE,T2; T3; T14; T15; T16; T18; T19; T20; T24,,,0,UNSET,1.0,1.0,0.0,0.0,120.0,,null,
R5,MAIN,4,N245,N36 NORMAL; N38 REVERSE; N39 REVERSE; N61 NORMAL; N163 REVERSE; N164 NORMAL; N165 REVERSE; N166 REVERSE; N167 REVERSE; N168 NORMAL; N362 REVERSE,T2; T3; T14; T15; T16; T18; T19; T25,,,0,UNSET,1.0,1.0,0.0,0.0,120.0,,null,
R6,MAIN,5,N245,N36 NORMAL; N38 REVERSE; N39 REVERSE; N61 NORMAL; N163 REVERSE; N164 NORMAL; N165 REVERSE; N166 NORMAL; N204 REVERSE; N207 NORMAL; N208 NORMAL,T2; T3; T14; T15; T16; T18; T37; T26,,,0,UNSET,1.0,1.0,0.0,0.0,120.0,,null,
R7,MAIN,6,N245,N36 NORMAL; N38 REVERSE; N39 REVERSE; N61 NORMAL; N163 REVERSE; N164 REVERSE; N9 REVERSE; N14 NORMAL; N209 NORMAL,T2; T3; T14; T15; T16; T17; T38; T27,,,0,UNSET,1.0,1.0,0.0,0.0,120.0,,null,
R8,MAIN,7,N245,N36 NORMAL; N38 REVERSE; N39 REVERSE; N61 NORMAL; N163 REVERSE; N164 NORMAL; N165 REVERSE; N166 NORMAL; N204 REVERSE; N207 NORMAL; N208 REVERSE; N209 REVERSE,T2; T3; T14; T15; T16; T18; T37; T38; T27,,,0,UNSET,1.0,1.0,0.0,0.0,120.0,,null,
R9,MAIN,8,N245,N36 NORMAL; N38 REVERSE; N39 REVERSE; N61 NORMAL; N163 REVERSE; N164 REVERSE; N9 REVERSE; N14 REVERSE; N201 REVERSE,T2; T3; T14; T15; T16; T17; T28,,,0,UNSET,1.0,1.0,0.0,0.0,120.0,,null,
R10,MAIN,9,N245,N36 NORMAL; N38 REVERSE; N39 REVERSE; N61 NORMAL; N163 NORMAL; N370 NORMAL; N369 NORMAL; N203 NORMAL,T2; T3; T14; T15; T39; T29,,,0,UNSET,1.0,1.0,0.0,0.0,120.0,,null,
