Name,Location,Paths,ID,Desc.,km,km change,Type,Device,Device direction,Track ID
N1226,-175163.23,3751115.8,P1236,P1283,OL AL3431,OL AL3431,0.111,,,,,
N1227,-173825.58,3752320.3,P1236,P1337,SIG : AL3431,SIG : AL3431,0.291,,,Signal,P1337,U-1
N1228,-173305.37,3752788.7,P1237,P1296,SD : AL3431,SD : AL3431,0.361,,,Sighting distance,P1237,
N1229,-171135.39,3754742.6,P1239,P1241,P1247,P1313,FD : ,FD : ,0.653,,Diamond:P1247-P1239/(P1313-P1241),,,
N1230,-170630.05,3755197.5,P1240,P1248,OL AL3434,OL AL3434,0.721,,,,,
N1231,-169292.39,3756402.0,P1240,P1325,SIG : AL3434,SIG : AL3434,0.901,,,Signal,P1325,D-1
N1232,-168556.67,3757064.5,P1326,P4955,1000MM,1000MM,1.0,,,,,
N1233,-173119.65,3753225.0,P1295,P1323,SD : AL3432,SD : AL3432,0.404,,,Sighting distance,P1295,
N1234,-172599.45,3753693.4,P1242,P1324,SIG : AL3432,SIG : AL3432,0.474,,,Signal,P1324,D-2
N1235,-171982.63,3754248.8,P1243,P1244,GRAD,GRAD,0.557,,,,,
N1236,-171261.78,3754897.8,P1244,P1246,OL AL3432,OL AL3432,0.654,,,,,
N1237,-169470.81,3756510.4,P1245,P1322,SD : AL3433,SD : AL3433,0.895,,,Sighting distance,P1322,
N1238,-168690.5,3757213.0,P1245,P4975,1000MM,1000MM,1.0,,,,,
N1239,-168516.76,3751155.1,P1249,P1250,GRAD,GRAD,174.413,,,,,
N1240,-169256.27,3751180.9,P1250,P1251,OL AL3425,OL AL3425,174.487,,,,,
N1241,-169346.2,3751184.1,P1251,P1259,P1341,POINTS : 2703,POINTS : 2703,174.496,,Points:P1251-P1341/(P1259),,,
N1242,-171504.89,3751259.4,P1293,P1342,SD : AL3427,SD : AL3427,174.712,,,Sighting distance,P1342,
N1243,-174251.08,3750992.0,P1252,P1253,1000MM,1000MM,175.0,,,,,
N1244,-175456.33,3750505.1,P1254,P1255,OL AL3427,OL AL3427,175.13,,,,,
N1245,-176179.56,3750212.9,P1255,P1276,P1317,POINTS : 2706,POINTS : 2706,175.208,,Points:P1276-P1255/(P1317),,,
N1246,-177190.22,3749804.6,P1256,P1257,P1281,POINTS : 2709B,POINTS : 2709B,175.317,,Points:P1257-P1256/(P1281),,,
N1247,-177885.55,3749523.6,P1257,P1258,OL AL3428,OL AL3428,175.392,,,,,
N1248,-169355.89,3751194.3,P1259,P1260,SPEED,SPEED,174.497,,,,,
