Name,Start node,End node,Length,Speed limit up (kmh),Speed limit down (kmh),Gradient,Tunnel,Radius,Note
P1236,N1226,N1227,180.0,0.0,24.0,-0.00378788,0.0,0.0,
P1237,N1228,N1310,1.0,0.0,24.0,-0.00378788,0.0,0.0,
P1238,N1310,N1322,195.0,0.0,80.0,-0.00378788,0.0,0.0,
P1239,N1322,N1229,96.0,0.0,80.0,0.00505051,0.0,0.0,
P1240,N1230,N1231,180.0,0.0,80.0,0.00505051,0.0,0.0,
P1241,N1321,N1229,1.0,48.0,0.0,0.00505051,0.0,0.0,
P1242,N1234,N1311,9.0,24.0,0.0,-0.00378788,0.0,0.0,
P1243,N1311,N1235,74.0,80.0,0.0,-0.00378788,0.0,0.0,
P1244,N1235,N1236,97.0,80.0,0.0,0.00505051,0.0,0.0,
P1245,N1237,N1238,105.0,80.0,0.0,0.00505051,0.0,0.0,
P1246,N1236,N1288,37.0,80.0,80.0,0.00505051,0.0,0.0,
P1247,N1229,N1293,42.0,0.0,80.0,0.00505051,0.0,0.0,
P1248,N1293,N1230,26.0,0.0,80.0,0.00505051,0.0,0.0,
P1249,N1304,N1239,109.0,120.99999999999999,0.0,-0.00684932,0.0,0.0,
P1250,N1239,N1240,74.0,120.99999999999999,0.0,-0.0060241,0.0,0.0,
P1251,N1240,N1241,9.0,120.99999999999999,0.0,-0.0060241,0.0,0.0,
P1252,N1284,N1243,53.0,120.99999999999999,0.0,-0.0060241,0.0,0.0,
P1253,N1243,N1312,117.0,120.99999999999999,0.0,-0.0060241,0.0,0.0,
P1254,N1312,N1244,13.0,97.0,0.0,-0.0060241,0.0,0.0,
P1255,N1244,N1245,78.0,97.0,0.0,-0.0060241,0.0,0.0,
P1256,N1313,N1246,19.0,120.99999999999999,0.0,-0.0060241,0.0,0.0,
P1257,N1246,N1247,75.0,120.99999999999999,120.99999999999999,-0.0060241,0.0,0.0,
P1258,N1247,N1285,183.0,120.99999999999999,120.99999999999999,-0.0060241,0.0,0.0,
P1259,N1241,N1248,1.0,120.99999999999999,0.0,-0.0060241,0.0,0.0,
P1260,N1248,N1249,1.0,48.0,48.0,-0.006024,0.0,0.0,
P1261,N1252,N1253,67.0,0.0,120.99999999999999,-0.0060241,0.0,0.0,
P1262,N1253,N1254,24.0,0.0,120.99999999999999,-0.0060241,0.0,0.0,
P1263,N1254,N1305,183.0,0.0,120.99999999999999,-0.0060241,0.0,0.0,
P1264,N1255,N1256,2.0,120.99999999999999,120.99999999999999,-0.0060241,0.0,0.0,
P1265,N1257,N1258,27.0,80.0,80.0,-0.0060241,0.0,0.0,
P1266,N1258,N1259,31.0,80.0,80.0,-0.0060241,0.0,0.0,
P1267,N1260,N1286,183.0,0.0,80.0,-0.0060241,0.0,0.0,
P1268,N1261,N1300,1.0,48.0,48.0,-0.006024,0.0,0.0,
P1269,N1263,N1253,1.0,48.0,0.0,-0.006024,0.0,0.0,
P1270,N1253,N1334,1.0,48.0,0.0,-0.006024,0.0,0.0,
P1271,N1249,N1263,61.0,48.0,48.0,-0.006024,0.0,0.0,
P1272,N1265,N1257,59.0,80.0,80.0,-0.0060241,0.0,0.0,
P1273,N1316,N1266,24.0,24.0,24.0,-0.0060241,0.0,0.0,
P1274,N1266,N1267,1.0,24.0,24.0,-0.0060241,0.0,0.0,
P1275,N1267,N1315,24.0,24.0,24.0,-0.0060241,0.0,0.0,
P1276,N1245,N1268,69.0,97.0,0.0,-0.0060241,0.0,0.0,
P1277,N1268,N1313,21.0,97.0,0.0,-0.0060241,0.0,0.0,
P1278,N1259,N1269,40.0,80.0,80.0,-0.0060241,0.0,0.0,
P1279,N1269,N1260,86.0,0.0,80.0,-0.0060241,0.0,0.0,
P1280,N1259,N1316,1.0,80.0,80.0,-0.0060241,0.0,0.0,
P1281,N1315,N1246,1.0,120.99999999999999,120.99999999999999,-0.0060241,0.0,0.0,
P1282,N1256,N1314,115.0,120.99999999999999,120.99999999999999,-0.0060241,0.0,0.0,
P1283,N1270,N1226,13.0,0.0,24.0,-0.00378788,0.0,0.0,
P1284,N1272,N1262,10.0,0.0,24.0,-0.006024,0.0,0.0,
P1285,N1273,N1271,97.0,24.0,0.0,-0.0037879999999999997,0.0,0.0,
P1286,N1273,N1272,1.0,0.0,24.0,-0.006024,0.0,0.0,
P1287,N1274,N1265,1.0,80.0,80.0,-0.006024,0.0,0.0,
P1288,N1265,N1276,1.0,80.0,80.0,-0.006024,0.0,0.0,
P1289,N1276,N1250,57.0,24.0,24.0,-0.006024,0.0,0.0,
P1290,N1275,N1277,1.0,80.0,80.0,-0.0037879999999999997,0.0,0.0,
P1291,N1277,N1270,47.0,0.0,24.0,-0.0037879999999999997,0.0,0.0,
P1292,N1278,N1255,80.0,120.99999999999999,120.99999999999999,-0.0060241,0.0,0.0,
P1293,N1242,N1279,210.0,120.99999999999999,0.0,-0.0060241,0.0,0.0,
P1294,N1271,N1280,206.0,24.0,0.0,-0.00378788,0.0,0.0,
P1295,N1280,N1233,100.0,24.0,0.0,-0.00378788,0.0,0.0,
P1296,N1281,N1228,57.0,0.0,24.0,-0.00378788,0.0,0.0,
P1297,N1289,N1288,1.0,80.0,80.0,0.00505051,0.0,0.0,
P1298,N1291,N1290,124.0,48.0,0.0,0.015872999999999998,0.0,0.0,
P1299,N1264,N1291,40.0,48.0,0.0,0.015872999999999998,0.0,0.0,
P1300,N1334,N1292,1.0,48.0,0.0,0.015872999999999998,0.0,0.0,
P1301,N1292,N1264,7.0,48.0,0.0,0.015872999999999998,0.0,0.0,
P1302,N1295,N1294,1.0,0.0,48.0,0.005051,0.0,0.0,
P1303,N1290,N1296,230.0,48.0,0.0,0.015872999999999998,0.0,0.0,
P1304,N1296,N1321,1.0,48.0,0.0,0.015872999999999998,0.0,0.0,
P1305,N1287,N1298,177.0,0.0,48.0,0.015872999999999998,0.0,0.0,
P1306,N1298,N1297,72.0,0.0,48.0,0.015872999999999998,0.0,0.0,
P1307,N1297,N1299,249.0,0.0,48.0,0.015872999999999998,0.0,0.0,
P1308,N1299,N1295,1.0,0.0,48.0,0.015872999999999998,0.0,0.0,
P1309,N1301,N1251,125.0,0.0,120.99999999999999,-0.00684932,0.0,0.0,
P1310,N1300,N1303,1.0,0.0,48.0,-0.006024,0.0,0.0,
P1311,N1303,N1287,10.0,0.0,48.0,0.015872999999999998,0.0,0.0,
P1312,N1306,N1252,1.0,0.0,120.99999999999999,-0.0060241,0.0,0.0,
P1313,N1229,N1307,19.0,48.0,0.0,0.00505051,0.0,0.0,
P1314,N1307,N1308,1.0,48.0,0.0,0.00505051,0.0,0.0,
P1315,N1308,N1289,17.0,48.0,0.0,0.00505051,0.0,0.0,
P1316,N1288,N1309,11.0,80.0,80.0,0.00505051,0.0,0.0,
P1317,N1250,N1245,1.0,97.0,0.0,-0.0060241,0.0,0.0,
P1318,N1275,N1274,1.0,80.0,80.0,-0.006024,0.0,0.0,
P1319,N1294,N1317,1.0,0.0,80.0,0.005051,0.0,0.0,
P1320,N1317,N1293,0.0,0.0,80.0,0.005051,0.0,0.0,
P1321,N1309,N1318,58.0,80.0,80.0,0.00505051,0.0,0.0,
P1322,N1318,N1237,135.0,80.0,80.0,0.00505051,0.0,0.0,
P1323,N1233,N1319,49.0,24.0,0.0,-0.00378788,0.0,0.0,
P1324,N1319,N1234,21.0,24.0,0.0,-0.00378788,0.0,0.0,
P1325,N1231,N1320,30.0,0.0,80.0,0.00505051,0.0,0.0,
P1326,N1320,N1232,69.0,0.0,80.0,0.00505051,0.0,0.0,
P1327,N1314,N1323,22.0,80.0,80.0,-0.0060241,0.0,0.0,
P1328,N1323,N1265,10.0,80.0,80.0,-0.0060241,0.0,0.0,
P1329,N1262,N1324,1.0,80.0,80.0,-0.0060241,0.0,0.0,
P1330,N1324,N1257,0.0,80.0,80.0,-0.0060241,0.0,0.0,
P1331,N1286,N1325,7.0,0.0,80.0,-0.0060241,0.0,0.0,
P1332,N1325,N1282,15.0,0.0,80.0,-0.0060241,0.0,0.0,
P1333,N1285,N1326,7.0,120.99999999999999,120.99999999999999,-0.0060241,0.0,0.0,
P1334,N1326,N1283,16.0,120.99999999999999,120.99999999999999,-0.0060241,0.0,0.0,
P1335,N1279,N1327,18.0,120.99999999999999,0.0,-0.0060241,0.0,0.0,
P1336,N1327,N1284,7.0,120.99999999999999,0.0,-0.0060241,0.0,0.0,
P1337,N1227,N1328,4.0,0.0,24.0,-0.00378788,0.0,0.0,
P1338,N1328,N1281,9.0,0.0,24.0,-0.00378788,0.0,0.0,
P1339,N1252,N1329,0.0,0.0,120.99999999999999,-0.0060241,0.0,0.0,
P1340,N1329,N1261,1.0,0.0,120.99999999999999,-0.0060241,0.0,0.0,
P1341,N1241,N1330,65.0,120.99999999999999,0.0,-0.0060241,0.0,0.0,
P1342,N1330,N1242,151.0,120.99999999999999,0.0,-0.0060241,0.0,0.0,
P1343,N1251,N1331,55.0,0.0,120.99999999999999,-0.0060241,0.0,0.0,
P1344,N1331,N1306,24.0,0.0,120.99999999999999,-0.0060241,0.0,0.0,
P1345,N1305,N1332,46.0,120.99999999999999,120.99999999999999,-0.0060241,0.0,0.0,
P1346,N1332,N1278,107.0,120.99999999999999,120.99999999999999,-0.0060241,0.0,0.0,
P1347,N1302,N1333,10.0,120.99999999999999,0.0,-0.00684932,0.0,0.0,
P1348,N1333,N1304,4.0,120.99999999999999,0.0,-0.00684932,0.0,0.0,
P3673,N3609,N3618,200.0,80.0,80.0,0.0015149999999999999,0.0,0.0,
P3674,N3611,N3619,200.0,120.99999999999999,120.99999999999999,0.0015149999999999999,0.0,0.0,
P3675,N3619,N3614,154.0,120.99999999999999,120.99999999999999,0.0015149999999999999,0.0,0.0,
P3676,N3618,N3620,200.0,80.0,80.0,0.0015149999999999999,0.0,0.0,
P3677,N3614,N3621,46.0,120.99999999999999,120.99999999999999,0.0015149999999999999,0.0,0.0,
P3678,N3621,N3613,137.0,120.99999999999999,120.99999999999999,0.0015149999999999999,0.0,0.0,
P3679,N3620,N3622,200.0,80.0,80.0,0.0015149999999999999,0.0,0.0,
P3680,N3613,N3623,63.0,120.99999999999999,120.99999999999999,0.0015149999999999999,0.0,0.0,
