Points,State,Switch time
N1241,NORMAL,4
N1245,NORMAL,4
N1246,NORMAL,4
N1252,NORMAL,4
N1257,NORMAL,4
N1259,NORMAL,4
N1288,NORMAL,4
N1293,NORMAL,4
N3659,NORMAL,4
N3660,NORMAL,4
N3758,NORMAL,4
N3777,NORMAL,4
N3778,NORMAL,4
N3918,NORMAL,4
N3919,NORMAL,4
N6161,NORMAL,4
N6162,NORMAL,4
N6168,NORMAL,4
N8885,NORMAL,4
N8886,NORMAL,4
N8896,NORMAL,4
N8897,NORMAL,4
N8920,NORMAL,4
N8929,NORMAL,4
N8930,NORMAL,4
N9355,NORMAL,4
N9356,NORMAL,4
N9363,NORMAL,4
N9364,NORMAL,4
N9371,NORMAL,4
N9372,NORMAL,4
N9474,NORMAL,4
N9475,NORMAL,4
N9505,NORMAL,4
N9529,NORMAL,4
N9530,NORMAL,4
N9531,NORMAL,4
N9546,NORMAL,4
N9547,NORMAL,4
N9582,NORMAL,4
N9583,NORMAL,4
N9592,NORMAL,4
N9593,NORMAL,4
N9606,NORMAL,4
N9609,NORMAL,4
N9653,NORMAL,4
N9658,NORMAL,4
N9660,NORMAL,4
N9717,NORMAL,4
N9720,NORMAL,4
N9733,NORMAL,4
N9742,NORMAL,4
N9743,NORMAL,4
N9995,NORMAL,4
N9996,NORMAL,4
N9997,NORMAL,4
N9998,NORMAL,4
N10005,NORMAL,4
N10006,NORMAL,4
N10007,NORMAL,4
N10071,NORMAL,4
N10076,NORMAL,4
N10096,NORMAL,4
N10101,NORMAL,4
N10127,NORMAL,4
N10128,NORMAL,4
N10129,NORMAL,4
N10130,NORMAL,4
N10132,NORMAL,4
N10133,NORMAL,4
N10138,NORMAL,4
N10141,NORMAL,4
N10142,NORMAL,4
N10144,NORMAL,4
N10146,NORMAL,4
N10148,NORMAL,4
N10149,NORMAL,4
N10151,NORMAL,4
N10152,NORMAL,4
N10167,NORMAL,4
N10168,NORMAL,4
N10169,NORMAL,4
N10170,NORMAL,4
N10171,NORMAL,4
N10172,NORMAL,4
N10173,NORMAL,4
N10174,NORMAL,4
N10196,NORMAL,4
N10198,NORMAL,4
N10200,NORMAL,4
N10201,NORMAL,4
N10256,NORMAL,4
N10257,NORMAL,4
N10416,NORMAL,4
N10419,NORMAL,4
N10420,NORMAL,4
N10496,NORMAL,4
N10501,NORMAL,4
N10502,NORMAL,4
N10516,NORMAL,4
N10519,NORMAL,4
N10523,NORMAL,4
N10572,NORMAL,4
N10785,NORMAL,4
N10788,NORMAL,4
N10789,NORMAL,4
N10790,NORMAL,4
N10807,NORMAL,4
N10967,NORMAL,4
N10988,NORMAL,4
N10992,NORMAL,4
N10993,NORMAL,4
N10994,NORMAL,4
N10995,NORMAL,4
N11011,NORMAL,4
N11076,NORMAL,4
N11201,NORMAL,4
N11202,NORMAL,4
