Signal,State,Switch time,Type,Script
N1227,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC377 CLEAR ];

N1231,ON,1,2 Aspect,CLEAR = [ ROUTE R426 SET ];
CLEAR = [ ROUTE R3815 SET ];
CLEAR = [ ROUTE R7256 SET ];

N1234,ON,1,2 Aspect,CLEAR = [ ROUTE R1878 SET ];

N1258,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC393 CLEAR ];

N1284,ON,1,2 Aspect,CLEAR = [ ROUTE R3820 SET ];

N1285,ON,1,2 Aspect,CLEAR = [ ROUTE R429 SET ];
CLEAR = [ ROUTE R430 SET ];

N1286,ON,1,2 Aspect,CLEAR = [ ROUTE R428 SET ];
CLEAR = [ ROUTE R431 SET ];

N1304,ON,1,2 Aspect,CLEAR = [ ROUTE R427 SET ];
CLEAR = [ ROUTE R1891 SET ];

N1305,ON,1,2 Aspect,CLEAR = [ ROUTE R3814 SET ];

N3613,ON,1,2 Aspect,CLEAR = [ ROUTE R1436 SET ];

N3646,ON,1,2 Aspect,CLEAR = [ ROUTE R1424 SET ];

N3663,ON,1,2 Aspect,CLEAR = [ ROUTE R1421 SET ];

N3684,ON,1,2 Aspect,CLEAR = [ ROUTE R1422 SET ];

N3755,ON,1,2 Aspect,CLEAR = [ ROUTE R1423 SET ];

N3759,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC1151 CLEAR ];

N3773,ON,1,2 Aspect,CLEAR = [ ROUTE R1429 SET ];

N3781,ON,1,2 Aspect,CLEAR = [ ROUTE R1426 SET ];

N3782,ON,1,2 Aspect,CLEAR = [ ROUTE R1425 SET ];

N3840,ON,1,2 Aspect,CLEAR = [ ROUTE R1433 SET ];

N3847,ON,1,2 Aspect,CLEAR = [ ROUTE R1431 SET ];

N3909,ON,1,2 Aspect,CLEAR = [ ROUTE R1432 SET ];

N3911,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC1162 CLEAR ];

N3912,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC1164 CLEAR ];

N3916,ON,1,2 Aspect,CLEAR = [ ROUTE R1434 SET ];

N3922,ON,1,2 Aspect,CLEAR = [ ROUTE R1438 SET ];

N4693,ON,1,2 Aspect,CLEAR = [ ROUTE R1881 SET ];

N4884,ON,1,2 Aspect,CLEAR = [ ROUTE R1877 SET ];

N4887,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC1472 CLEAR ];

N4889,ON,1,2 Aspect,CLEAR = [ ROUTE R1879 SET ];

N4905,ON,1,2 Aspect,CLEAR = [ ROUTE R1880 SET ];

N5854,ON,1,2 Aspect,CLEAR = [ ROUTE R2181 SET ];

N5857,ON,1,2 Aspect,CLEAR = [ ROUTE R2212 SET ];

N5860,ON,1,2 Aspect,CLEAR = [ ROUTE R2180 SET ];

N5863,ON,1,2 Aspect,CLEAR = [ ROUTE R2179 SET ];

N5866,ON,1,2 Aspect,CLEAR = [ ROUTE R2214 SET ];

N6136,ON,1,2 Aspect,CLEAR = [ ROUTE R2213 SET ];

N6151,ON,1,2 Aspect,CLEAR = [ ROUTE R5116 SET ];

N6154,ON,1,2 Aspect,CLEAR = [ ROUTE R2269 SET ];
CLEAR = [ ROUTE R2270 SET ];

N6194,ON,1,2 Aspect,CLEAR = [ ROUTE R1435 SET ];

N6199,ON,1,2 Aspect,CLEAR = [ ROUTE R2273 SET ];

N6247,ON,1,2 Aspect,CLEAR = [ ROUTE R4205 SET ];

N6250,ON,1,2 Aspect,CLEAR = [ ROUTE R4195 SET ];

N6253,ON,1,2 Aspect,CLEAR = [ ROUTE R2274 SET ];
CLEAR = [ TRACKCIRCUIT TC1947 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC1947 ROUTE_LOCKED_DOWN ];
N6286,ON,1,2 Aspect,CLEAR = [ ROUTE R4159 SET ];

N6287,ON,1,2 Aspect,CLEAR = [ ROUTE R4160 SET ];

N6312,ON,1,2 Aspect,CLEAR = [ ROUTE R2271 SET ];

N6313,ON,1,2 Aspect,CLEAR = [ ROUTE R2272 SET ];

N7538,ON,1,2 Aspect,CLEAR = [ ROUTE R3251 SET ];

N7571,ON,1,2 Aspect,CLEAR = [ ROUTE R3238 SET ];

N7574,ON,1,2 Aspect,CLEAR = [ ROUTE R3237 SET ];

N7578,ON,1,2 Aspect,CLEAR = [ ROUTE R3239 SET ];

N8873,ON,1,2 Aspect,CLEAR = [ ROUTE R4020 SET ];

N8877,ON,1,2 Aspect,CLEAR = [ ROUTE R4021 SET ];

N8881,ON,1,2 Aspect,CLEAR = [ ROUTE R3533 SET ];
CLEAR = [ ROUTE R4019 SET ];

N8903,ON,1,2 Aspect,CLEAR = [ ROUTE R4017 SET ];
CLEAR = [ ROUTE R4018 SET ];

N8933,ON,1,2 Aspect,CLEAR = [ ROUTE R3538 SET ];
CLEAR = [ ROUTE R4154 SET ];

N8934,ON,1,2 Aspect,CLEAR = [ ROUTE R3534 SET ];

N8935,ON,1,2 Aspect,CLEAR = [ ROUTE R3539 SET ];
CLEAR = [ ROUTE R7257 SET ];

N8936,ON,1,2 Aspect,CLEAR = [ ROUTE R3535 SET ];

N8952,ON,1,2 Aspect,CLEAR = [ ROUTE R3250 SET ];

N8959,ON,1,2 Aspect,CLEAR = [ ROUTE R3537 SET ];
CLEAR = [ ROUTE R4156 SET ];

N8998,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC2625 CLEAR ];

N8999,ON,1,2 Aspect,CLEAR = [ ROUTE R3540 SET ];

N9347,ON,1,2 Aspect,CLEAR = [ ROUTE R3635 SET ];
CLEAR = [ ROUTE R3637 SET ];

N9383,ON,1,2 Aspect,CLEAR = [ ROUTE R4174 SET ];

N9400,ON,1,2 Aspect,CLEAR = [ ROUTE R5085 SET ];
CLEAR = [ ROUTE R5086 SET ];

N9402,ON,1,2 Aspect,CLEAR = [ ROUTE R4196 SET ];

N9432,ON,1,2 Aspect,CLEAR = [ ROUTE R3636 SET ];

N9440,ON,1,2 Aspect,CLEAR = [ ROUTE R4161 SET ];

N9450,ON,1,2 Aspect,CLEAR = [ ROUTE R5080 SET ];

N9459,ON,1,2 Aspect,CLEAR = [ ROUTE R5082 SET ];

N9460,ON,1,2 Aspect,CLEAR = [ ROUTE R3418 SET ];
CLEAR = [ ROUTE R3574 SET ];

N9490,ON,1,2 Aspect,CLEAR = [ ROUTE R3638 SET ];

N9506,ON,1,2 Aspect,CLEAR = [ ROUTE R3662 SET ];

N9507,ON,1,2 Aspect,CLEAR = [ ROUTE R3878 SET ];
CLEAR = [ ROUTE R3899 SET ];
CLEAR = [ ROUTE R3900 SET ];
CLEAR = [ ROUTE R5249 SET ];

N9517,ON,1,2 Aspect,CLEAR = [ ROUTE R3660 SET ];

N9551,ON,1,2 Aspect,CLEAR = [ ROUTE R3661 SET ];

N9552,ON,1,2 Aspect,CLEAR = [ ROUTE R2215 SET ];

N9553,ON,1,2 Aspect,CLEAR = [ ROUTE R3663 SET ];
CLEAR = [ TRACKCIRCUIT TC2749 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC2749 ROUTE_LOCKED_DOWN ];


N9574,ON,1,2 Aspect,CLEAR = [ ROUTE R3680 SET ];

N9575,ON,1,2 Aspect,CLEAR = [ ROUTE R3681 SET ];

N9589,ON,1,2 Aspect,CLEAR = [ ROUTE R3914 SET ];

N9591,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC2785 CLEAR ];

N9614,ON,1,2 Aspect,CLEAR = [ ROUTE R3915 SET ];
CLEAR = [ ROUTE R3916 SET ];

N9617,ON,1,2 Aspect,CLEAR = [ ROUTE R3917 SET ];
CLEAR = [ ROUTE R3918 SET ];

N9624,ON,1,2 Aspect,CLEAR = [ ROUTE R3682 SET ];

N9632,ON,1,2 Aspect,CLEAR = [ ROUTE R3922 SET ];
CLEAR = [ ROUTE R3923 SET ];

N9637,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC2815 CLEAR ];

N9640,ON,1,2 Aspect,CLEAR = [ ROUTE R3687 SET ];

N9643,ON,1,2 Aspect,CLEAR = [ ROUTE R3689 SET ];

N9646,ON,1,2 Aspect,CLEAR = [ ROUTE R3688 SET ];

N9651,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC2827 CLEAR ];

N9652,ON,1,2 Aspect,CLEAR = [ ROUTE R3690 SET ];

N9683,ON,1,2 Aspect,CLEAR = [ ROUTE R3683 SET ];
CLEAR = [ ROUTE R3684 SET ];
CLEAR = [ ROUTE R3685 SET ];
CLEAR = [ ROUTE R3686 SET ];

N9696,ON,1,2 Aspect,CLEAR = [ ROUTE R3816 SET ];
CLEAR = [ ROUTE R3929 SET ];

N9698,ON,1,2 Aspect,CLEAR = [ ROUTE R3928 SET ];

N9711,ON,1,2 Aspect,CLEAR = [ ROUTE R3691 SET ];

N9728,ON,1,2 Aspect,CLEAR = [ ROUTE R3692 SET ];

N9795,ON,1,2 Aspect,CLEAR = [ ROUTE R3920 SET ];
CLEAR = [ ROUTE R3921 SET ];

N9902,ON,1,2 Aspect,CLEAR = [ ROUTE R3812 SET ];

N9909,ON,1,2 Aspect,CLEAR = [ ROUTE R3813 SET ];

N9925,ON,1,2 Aspect,CLEAR = [ ROUTE R3817 SET ];

N9935,ON,1,2 Aspect,CLEAR = [ ROUTE R3818 SET ];

N9938,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC2923 CLEAR ];

N9939,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC2925 CLEAR ];

N10002,ON,1,2 Aspect,CLEAR = [ ROUTE R3825 SET ];

N10008,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC2962 CLEAR ];

N10009,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC2964 CLEAR ];

N10020,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC2959 CLEAR ];

N10033,ON,1,2 Aspect,CLEAR = [ ROUTE R5092 SET ];

N10034,ON,1,2 Aspect,CLEAR = [ ROUTE R5094 SET ];

N10035,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC2972 CLEAR ];

N10140,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC3017 CLEAR ];

N10147,ON,1,2 Aspect,CLEAR = [ ROUTE R3887 SET ];

N10154,ON,1,2 Aspect,CLEAR = [ ROUTE R3856 SET ];
CLEAR = [ ROUTE R3859 SET ];

N10155,ON,1,2 Aspect,CLEAR = [ ROUTE R3857 SET ];
CLEAR = [ ROUTE R3860 SET ];

N10156,ON,1,2 Aspect,CLEAR = [ ROUTE R3846 SET ];
CLEAR = [ ROUTE R5152 SET ];
CLEAR = [ ROUTE R5226 SET ];
CLEAR = [ ROUTE R5244 SET ];

N10159,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC3048 CLEAR ];

N10162,ON,1,2 Aspect,CLEAR = [ ROUTE R3835 SET ];
CLEAR = [ ROUTE R5242 SET ];
CLEAR = [ TRACKCIRCUIT TC3049 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC3049 ROUTE_LOCKED_DOWN ];

