Track circuit,Description,ID,State,Last locked for Route
TC1,TC1: Paths = P74 P73 P16274 P16273 P16159 P16158 P18546 P16157,null,CLEAR,
TC2,TC2: Paths = P75 P76,null,CLEAR,
TC3,TC3: Paths = P1 P43 P44 P4 P6 P36,null,CLEAR,
TC4,TC4: Paths = P46,null,CLEAR,
TC5,TC5: Paths = P10 P16385,null,CLEAR,
TC6,TC6: Paths = P11 P22 P23 P38,null,CLEAR,
TC7,TC7: Paths = P15 P16 P17 P41,null,CLEAR,
TC8,TC8: Paths = P19,null,CLEAR,
TC9,TC9: Paths = P18 P40,null,CLEAR,
TC10,TC10: Paths = P90 P89 P16272 P16271 P16233 P16234 P16235 P16387,null,CLEAR,
TC11,TC11: Paths = P31,null,CLEAR,
TC12,TC12: Paths = P84 P83 P72,null,CLEAR,
TC13,TC13: Paths = P86 P85,null,CLEAR,
TC14,TC14: Paths = P21 P20 P69 P107 P106 P60,null,CLEAR,
TC15,TC15: Paths = P87 P88,null,CLEAR,
TC16,TC16: Paths = P24 P12 P32,null,CLEAR,
TC17,TC17: Paths = P91 P92 P30 P110 P111 P13 P14 P16380,null,CLEAR,
TC18,TC18: Paths = P78 P77 P37,null,CLEAR,
TC19,TC19: Paths = P79 P80 P8 P28 P29 P9 P16162 P16323,null,CLEAR,
TC20,TC20: Paths = P25 P7 P27 P113 P112 P5 P3 P2 P42,null,CLEAR,
TC21,TC21: Paths = P26 P35,null,CLEAR,
TC22,TC22: Paths = P33 P39,null,CLEAR,
TC23,TC23: Paths = P34 P12857 P12855,null,CLEAR,
TC24,TC24: Paths = P12860 P12853 P16163 P16329,null,CLEAR,
TC25,TC25: Paths = P45 P16161 P16160 P19640 P19639 P18545 P19632,null,CLEAR,
TC26,TC26: Paths = P55 P51 P59,null,CLEAR,
TC27,TC27: Paths = P56 P53 P54 P61 P62 P49 P67 P68 P70 P71,null,CLEAR,
TC28,TC28: Paths = P57 P65 P66,null,CLEAR,
TC29,TC29: Paths = P94 P93 P64 P63 P48 P47 P50 P52 P82 P81,null,CLEAR,
TC30,TC30: Paths = P58 P96 P109 P108,null,CLEAR,
TC31,TC31: Paths = P104 P95 P105 P103,null,CLEAR,
TC32,TC32: Paths = P97 P972 P971 P969 P968 P966 P1004 P1003 P1000 P999 P964 P963 P997 P996 P961 P959 P957 P955 P1076 P1075 P1031 P1030 P951 P949 P947 P945 P943 P1068 P1067 P993 P1029,null,CLEAR,
TC33,TC33: Paths = P114 P115 P100,null,CLEAR,
TC34,TC34: Paths = P99 P98 P1035,null,CLEAR,
TC35,TC35: Paths = P117 P116 P102,null,CLEAR,
TC36,TC36: Paths = P101,null,CLEAR,
TC37,TC37: Paths = P141 P196,null,CLEAR,
TC38,TC38: Paths = P216,null,CLEAR,
TC39,TC39: Paths = P118,null,CLEAR,
TC40,TC40: Paths = P147,null,CLEAR,
TC41,TC41: Paths = P233 P234,null,CLEAR,
TC42,TC42: Paths = P153,null,CLEAR,
TC43,TC43: Paths = P218 P217 P194,null,CLEAR,
TC44,TC44: Paths = P220 P219,null,CLEAR,
TC45,TC45: Paths = P134 P138,null,CLEAR,
TC46,TC46: Paths = P186,null,CLEAR,
TC47,TC47: Paths = P228 P227,null,CLEAR,
TC48,TC48: Paths = P127 P188,null,CLEAR,
TC49,TC49: Paths = P140,null,CLEAR,
TC50,TC50: Paths = P229 P230,null,CLEAR,
TC51,TC51: Paths = P121 P193,null,CLEAR,
TC52,TC52: Paths = P129 P191,null,CLEAR,
TC53,TC53: Paths = P231 P232,null,CLEAR,
TC54,TC54: Paths = P119,null,CLEAR,
TC55,TC55: Paths = P179,null,CLEAR,
TC56,TC56: Paths = P224 P223 P177,null,CLEAR,
TC57,TC57: Paths = P126 P182,null,CLEAR,
TC58,TC58: Paths = P183,null,CLEAR,
TC59,TC59: Paths = P128 P170,null,CLEAR,
TC60,TC60: Paths = P145 P144,null,CLEAR,
TC61,TC61: Paths = P171,null,CLEAR,
TC62,TC62: Paths = P125 P175,null,CLEAR,
TC63,TC63: Paths = P151 P178,null,CLEAR,
TC64,TC64: Paths = P226 P225,null,CLEAR,
TC65,TC65: Paths = P120 P180,null,CLEAR,
